topk,Grid,RMIPS,US,QSRP,Rtree
10,3741307768986.67,599144841069.77,7721858352,1711330834,775946144368.42
50,5922777412926.32,648924428720.93,11669061232,1734262038,1064281455437.50
100,7672768881575.00,698701530418.61,13722611176,1747992795,1134720429071.43
150,8528663194307.69,798255585953.49,14648602168,1758351724,1221875618615.38
200,10050577659781.80,848032613325.58,15502110136,1766569170,1295618588666.67
