topk,Grid,RMIPS,US,QSRP,Rtree
10,24750041.29,1363974.952,207.189,57.051,6690059.09
50,41760796.96,1705211.011,236.603,75.126,7884705.07
100,53284083.41,1705211.011,234.542,81.439,8739407.49
150,61689816.74,2045865.5,261.239,92.212,9325997.77
200,68754675.16,2045865.5,272.766,93.725,9763181.72
