topk,Grid,RMIPS,US,QSRP,Rtree
10,68497574.96,42668.51158,100.451,83.655,336833.96
50,68389919.23,166818.0784,154.786,83.244,674486.80
100,68588050.71,249583.8152,213.856,86.669,1006728.18
150,68584741.92,332349.552,243.160,87.322,1230099.22
200,68682653.44,353040.9862,273.254,88.662,1415822.13
