topk,Grid,RMIPS,US,QSRP,Rtree
10,115493339806400.00,72867969506.85,7750880770,2198844137,575234661500.00
50,115311822136600.00,284886774794.52,28936928172,2219246944,1151867774333.33
100,115645890420600.00,426231550191.78,47087847608,2232848728,1719259363857.14
150,115640311490000.00,567576325589.04,53270999310,2238017516,2100725553428.57
200,115805399496200.00,602912519438.36,69971684168,2261684752,2417897420833.33
