topk,Grid,RMIPS,US,QSRP,Rtree
10,23374495227600.00,1110184215424.27,38232385255,833915833,5445259821000.00
50,39439835184400.00,1387927502121.33,44023173705,1018571166,6417621594666.67
100,50322685885800.00,1387927502121.33,48934089705,1164736154,7113292099000.00
150,58261249349400.00,1665197430000.00,54149482497,1272932046,7590737282000.00
200,64933460417600.00,1665197430000.00,58216130188,1391142004,7946575724000.00
