topk,Grid,RMIPS,US,QSRP,Rtree
10,4132619193781.82,858992051833.33,7932123225,310306168,117845191000.00
50,10029619330333.30,1073198271250.00,9906030090,378830236,273903733000.00
100,11114591358075.00,1501602561416.67,12646104540,415281806,370181723000.00
150,12416319006400.00,1930006338750.00,14439201600,443257403,453886599000.00
200,15199429026440.00,1930006338750.00,15134513445,461490700,516383293000.00
