topk,Grid,RMIPS,US,QSRP,Rtree
10,3068103.21,114729.3336,100.711,83.339,148584.75
50,4857042.92,124261.5511,111.275,82.068,203797.64
100,6292143.90,133793.2925,126.015,86.594,217285.89
150,6994030.05,152856.7471,121.827,90.054,233975.10
200,8242093.81,162388.4743,120.731,90.781,248096.03
