queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
       725,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
       726,   2511509,        99,         2,   3330096,         0,      0.08,      0.06,      0.00
       727,   2511508,        93,         9,   6194797,         0,      0.09,      0.06,      0.00
       728,   2511488,        94,        28,  13970414,         0,      0.12,      0.07,      0.00
       729,   2511510,       100,         0,   2511610,         0,      0.06,      0.05,      0.00
       730,   2511510,       100,         0,   2511610,         0,      0.06,      0.05,      0.00
       731,   2511510,       100,         0,   2511610,         0,      0.07,      0.05,      0.00
       732,   2511508,        98,         4,   4148582,         0,      0.08,      0.06,      0.00
       733,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
       734,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
       735,   2511509,        98,         3,   3739339,         0,      0.08,      0.05,      0.00
       736,   2511509,        99,         2,   3330096,         0,      0.08,      0.06,      0.00
       737,   2511509,        99,         2,   3330096,         0,      0.08,      0.06,      0.00
       738,   2511460,        41,       109,  47119097,         0,      0.20,      0.05,      0.00
       739,   2511508,        98,         4,   4148582,         0,      0.08,      0.06,      0.00
       740,   2511509,        99,         2,   3330096,         0,      0.08,      0.06,      0.00
       741,   2510447,        49,      1114, 458408312,         0,      1.41,      0.05,      0.00
       742,   2511503,        94,        13,   7831769,         0,      0.10,      0.06,      0.00
       743,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
       744,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
       745,   2511510,       100,         0,   2511610,         0,      0.06,      0.05,      0.00
       746,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
       747,   2511481,        59,        70,  31158620,         0,      0.16,      0.05,      0.00
       748,   2511507,        99,         4,   4148582,         0,      0.08,      0.05,      0.00
       749,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
       750,   2511503,        81,        26,  13151928,         0,      0.11,      0.06,      0.00
       751,   2511501,        98,        11,   7013283,         0,      0.10,      0.06,      0.00
       752,   2511506,        97,         7,   5376311,         0,      0.10,      0.07,      0.00
       753,   2511509,        97,         4,   4148582,         0,      0.09,      0.06,      0.00
       754,   2511510,       100,         0,   2511610,         0,      0.06,      0.05,      0.00
       755,   2511445,        72,        93,  40571209,         0,      0.19,      0.06,      0.00
       756,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
       757,   2511509,        99,         2,   3330096,         0,      0.07,      0.05,      0.00
       758,   2511508,        98,         4,   4148582,         0,      0.09,      0.06,      0.00
       759,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
       760,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
       761,   2511508,        94,         8,   5785554,         0,      0.09,      0.07,      0.00
       762,   2511503,        96,        11,   7013283,         0,      0.10,      0.06,      0.00
       763,   2511500,        99,        11,   7013283,         0,      0.10,      0.06,      0.00
       764,   2511510,       100,         0,   2511610,         0,      0.06,      0.05,      0.00
       765,   2511495,        95,        20,  10696470,         0,      0.11,      0.06,      0.00
       766,   2511508,        99,         3,   3739339,         0,      0.10,      0.06,      0.00
       767,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
       768,   2511503,        99,         8,   5785554,         0,      0.08,      0.05,      0.00
       769,   2511510,       100,         0,   2511610,         0,      0.06,      0.05,      0.00
       770,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
       771,   2511510,       100,         0,   2511610,         0,      0.07,      0.05,      0.00
       772,   2511509,        99,         2,   3330096,         0,      0.07,      0.05,      0.00
       773,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
       774,   2511481,        40,        89,  38934237,         0,      0.18,      0.05,      0.00
       775,   2511498,        98,        14,   8241012,         0,      0.09,      0.05,      0.00
