queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
         0,   2189357,       100,         0,   2189457,         0,      0.17,      0.14,      0.00
         1,   2189355,        99,         3,   2668212,         0,      0.18,      0.09,      0.00
         2,   2189357,       100,         0,   2189457,         0,      0.08,      0.07,      0.00
         3,   2189355,        92,        10,   3785307,         0,      0.11,      0.09,      0.00
         4,   2189356,        99,         2,   2508627,         0,      0.09,      0.07,      0.00
         5,   2189355,        95,         7,   3306552,         0,      0.09,      0.07,      0.00
         6,   2189357,       100,         0,   2189457,         0,      0.08,      0.07,      0.00
         7,   2189344,        94,        19,   5221572,         0,      0.09,      0.07,      0.00
         8,   2189355,        86,        16,   4742817,         0,      0.10,      0.07,      0.00
         9,   2189336,        80,        41,   8732442,         0,      0.09,      0.07,      0.00
        10,   2189356,        73,        28,   6657837,         0,      0.09,      0.07,      0.00
        11,   2189357,       100,         0,   2189457,         0,      0.08,      0.07,      0.00
        12,   2189347,        97,        13,   4264062,         0,      0.08,      0.06,      0.00
        13,   2189357,       100,         0,   2189457,         0,      0.07,      0.06,      0.00
        14,   2189344,        58,        55,  10966632,         0,      0.11,      0.07,      0.00
        15,   2189322,        83,        52,  10487877,         0,      0.10,      0.07,      0.00
        16,   2189357,       100,         0,   2189457,         0,      0.08,      0.07,      0.00
        17,   2189357,       100,         0,   2189457,         0,      0.07,      0.06,      0.00
        18,   2189038,        23,       396,  65385117,         0,      0.12,      0.07,      0.00
        19,   2189356,        99,         2,   2508627,         0,      0.08,      0.06,      0.00
        20,   2189356,        96,         5,   2987382,         0,      0.08,      0.07,      0.00
        21,   2189341,        42,        74,  13998747,         0,      0.09,      0.07,      0.00
        22,   2189357,       100,         0,   2189457,         0,      0.07,      0.06,      0.00
        23,   2189356,        99,         2,   2508627,         0,      0.08,      0.07,      0.00
        24,   2189357,       100,         0,   2189457,         0,      0.07,      0.06,      0.00
        25,   2189357,       100,         0,   2189457,         0,      0.10,      0.08,      0.00
        26,   2189357,       100,         0,   2189457,         0,      0.08,      0.06,      0.00
        27,   2189341,        98,        18,   5061987,         0,      0.10,      0.08,      0.00
        28,   2189357,       100,         0,   2189457,         0,      0.08,      0.06,      0.00
        29,   2189357,       100,         0,   2189457,         0,      0.08,      0.07,      0.00
        30,   2189357,       100,         0,   2189457,         0,      0.08,      0.06,      0.00
        31,   2189355,        94,         8,   3466137,         0,      0.10,      0.08,      0.00
        32,   2189352,        94,        11,   3944892,         0,      0.09,      0.07,      0.00
        33,   2188539,        19,       899, 145656372,         0,      0.17,      0.07,      0.00
        34,   2189355,        80,        22,   5700327,         0,      0.08,      0.07,      0.00
        35,   2189343,        92,        22,   5700327,         0,      0.08,      0.07,      0.00
        36,   2189355,        87,        15,   4583232,         0,      0.08,      0.06,      0.00
        37,   2189355,        94,         8,   3466137,         0,      0.08,      0.06,      0.00
        38,   2189352,        99,         6,   3146967,         0,      0.08,      0.07,      0.00
        39,   2189355,        98,         4,   2827797,         0,      0.08,      0.06,      0.00
        40,   2189350,        94,        13,   4264062,         0,      0.09,      0.07,      0.00
        41,   2189352,        96,         9,   3625722,         0,      0.08,      0.07,      0.00
        42,   2189282,        69,       106,  19105467,         0,      0.10,      0.07,      0.00
        43,   2189344,        95,        18,   5061987,         0,      0.09,      0.07,      0.00
        44,   2189299,        52,       106,  19105467,         0,      0.09,      0.06,      0.00
        45,   2189356,        99,         2,   2508627,         0,      0.10,      0.08,      0.00
        46,   2189322,        68,        67,  12881652,         0,      0.09,      0.07,      0.00
        47,   2189334,        98,        25,   6179082,         0,      0.09,      0.07,      0.00
        48,   2189292,         2,       163,  28201812,         0,      0.11,      0.08,      0.00
        49,   2189356,        99,         2,   2508627,         0,      0.09,      0.07,      0.00
        50,   2189342,        99,        16,   4742817,         0,      0.09,      0.08,      0.00
        51,   2189318,        90,        49,  10009122,         0,      0.11,      0.08,      0.00
        52,   2189356,        99,         2,   2508627,         0,      0.08,      0.07,      0.00
        53,   2189357,       100,         0,   2189457,         0,      0.08,      0.07,      0.00
        54,   2189355,        95,         7,   3306552,         0,      0.10,      0.07,      0.00
        55,   2189357,       100,         0,   2189457,         0,      0.07,      0.06,      0.00
        56,   2189345,        97,        15,   4583232,         0,      0.08,      0.06,      0.00
        57,   2189269,        99,        89,  16392522,         0,      0.09,      0.07,      0.00
        58,   2189353,        38,        66,  12722067,         0,      0.10,      0.07,      0.00
        59,   2189094,         2,       361,  59799642,         0,      0.12,      0.07,      0.00
        60,   2189348,        78,        31,   7136592,         0,      0.09,      0.07,      0.00
        61,   2189326,        53,        78,  14637087,         0,      0.09,      0.07,      0.00
        62,   2189357,       100,         0,   2189457,         0,      0.07,      0.06,      0.00
        63,   2188233,        37,      1187, 191616852,         0,      0.19,      0.07,      0.00
        64,   2189352,        99,         6,   3146967,         0,      0.09,      0.07,      0.00
        65,   2189343,        97,        17,   4902402,         0,      0.10,      0.08,      0.00
        66,   2189345,        97,        15,   4583232,         0,      0.09,      0.07,      0.00
        67,   2189344,        89,        24,   6019497,         0,      0.09,      0.07,      0.00
        68,   2189345,        91,        21,   5540742,         0,      0.08,      0.06,      0.00
        69,   2189355,        94,         8,   3466137,         0,      0.09,      0.07,      0.00
        70,   2189349,        56,        52,  10487877,         0,      0.09,      0.07,      0.00
        71,   2189356,        98,         3,   2668212,         0,      0.08,      0.06,      0.00
        72,   2189356,        89,        12,   4104477,         0,      0.09,      0.07,      0.00
        73,   2189356,        96,         5,   2987382,         0,      0.08,      0.06,      0.00
        74,   2189357,       100,         0,   2189457,         0,      0.07,      0.06,      0.00
        75,   2189357,       100,         0,   2189457,         0,      0.07,      0.06,      0.00
        76,   2189357,       100,         0,   2189457,         0,      0.07,      0.06,      0.00
        77,   2189354,        88,        15,   4583232,         0,      0.09,      0.07,      0.00
        78,   2189356,        99,         2,   2508627,         0,      0.08,      0.07,      0.00
        79,   2189357,       100,         0,   2189457,         0,      0.08,      0.06,      0.00
        80,   2189355,        96,         6,   3146967,         0,      0.08,      0.06,      0.00
        81,   2189354,        98,         5,   2987382,         0,      0.08,      0.06,      0.00
        82,   2189205,         0,       252,  42404877,         0,      0.12,      0.07,      0.00
        83,   2189341,        94,        22,   5700327,         0,      0.09,      0.07,      0.00
        84,   2189355,        94,         8,   3466137,         0,      0.09,      0.07,      0.00
        85,   2189337,        99,        21,   5540742,         0,      0.09,      0.07,      0.00
        86,   2189353,        99,         5,   2987382,         0,      0.08,      0.07,      0.00
        87,   2189357,       100,         0,   2189457,         0,      0.07,      0.06,      0.00
        88,   2189356,        72,        29,   6817422,         0,      0.10,      0.06,      0.00
        89,   2189357,       100,         0,   2189457,         0,      0.06,      0.05,      0.00
        90,   2189340,        88,        29,   6817422,         0,      0.08,      0.06,      0.00
        91,   2189356,        92,         9,   3625722,         0,      0.08,      0.06,      0.00
        92,   2189354,        98,         5,   2987382,         0,      0.09,      0.07,      0.00
        93,   2189356,        99,         2,   2508627,         0,      0.08,      0.06,      0.00
        94,   2189356,        94,         7,   3306552,         0,      0.09,      0.07,      0.00
        95,   2189356,        98,         3,   2668212,         0,      0.09,      0.07,      0.00
        96,   2189342,        88,        27,   6498252,         0,      0.09,      0.07,      0.00
        97,   2189231,        95,       131,  23095092,         0,      0.11,      0.08,      0.00
        98,   2189354,        99,         4,   2827797,         0,      0.09,      0.07,      0.00
        99,   2189357,       100,         0,   2189457,         0,      0.08,      0.07,      0.00
       100,   2189340,        90,        27,   6498252,         0,      0.10,      0.07,      0.00
       101,   2189302,        92,        63,  12243312,         0,      0.09,      0.07,      0.00
       102,   2189357,       100,         0,   2189457,         0,      0.08,      0.07,      0.00
       103,   2189349,        91,        17,   4902402,         0,      0.09,      0.07,      0.00
       104,   2189355,        99,         3,   2668212,         0,      0.08,      0.06,      0.00
       105,   2189309,        26,       122,  21658827,         0,      0.10,      0.07,      0.00
       106,   2189340,        64,        53,  10647462,         0,      0.09,      0.07,      0.00
       107,   2189350,        97,        10,   3785307,         0,      0.09,      0.07,      0.00
       108,   2189357,       100,         0,   2189457,         0,      0.07,      0.06,      0.00
       109,   2189357,       100,         0,   2189457,         0,      0.07,      0.06,      0.00
       110,   2189357,       100,         0,   2189457,         0,      0.08,      0.06,      0.00
       111,   2189331,        80,        46,   9530367,         0,      0.09,      0.07,      0.00
       112,   2189354,        84,        19,   5221572,         0,      0.09,      0.07,      0.00
       113,   2189353,        92,        12,   4104477,         0,      0.08,      0.06,      0.00
       114,   2189353,        98,         6,   3146967,         0,      0.08,      0.06,      0.00
       115,   2189328,        74,        55,  10966632,         0,      0.17,      0.08,      0.00
       116,   2189345,        94,        18,   5061987,         0,      0.09,      0.07,      0.00
       117,   2189347,        96,        14,   4423647,         0,      0.09,      0.07,      0.00
       118,   2189356,        99,         2,   2508627,         0,      0.09,      0.07,      0.00
       119,   2189357,       100,         0,   2189457,         0,      0.08,      0.07,      0.00
       120,   2189357,       100,         0,   2189457,         0,      0.07,      0.06,      0.00
       121,   2189353,        95,         9,   3625722,         0,      0.10,      0.08,      0.00
       122,   2189357,       100,         0,   2189457,         0,      0.08,      0.07,      0.00
       123,   2189355,        94,         8,   3466137,         0,      0.10,      0.08,      0.00
       124,   2189356,        95,         6,   3146967,         0,      0.10,      0.08,      0.00
       125,   2189357,       100,         0,   2189457,         0,      0.07,      0.06,      0.00
       126,   2189354,        98,         5,   2987382,         0,      0.08,      0.07,      0.00
       127,   2189357,       100,         0,   2189457,         0,      0.06,      0.05,      0.00
       128,   2189354,        98,         5,   2987382,         0,      0.08,      0.06,      0.00
       129,   2189340,        84,        33,   7455762,         0,      0.09,      0.07,      0.00
       130,   2189357,       100,         0,   2189457,         0,      0.07,      0.05,      0.00
       131,   2189355,        97,         5,   2987382,         0,      0.09,      0.07,      0.00
       132,   2189356,        99,         2,   2508627,         0,      0.09,      0.07,      0.00
       133,   2189351,        82,        24,   6019497,         0,      0.08,      0.06,      0.00
       134,   2189356,        96,         5,   2987382,         0,      0.10,      0.07,      0.00
       135,   2189355,        99,         3,   2668212,         0,      0.09,      0.07,      0.00
       136,   2189351,        97,         9,   3625722,         0,      0.09,      0.07,      0.00
       137,   2189355,        94,         8,   3466137,         0,      0.09,      0.07,      0.00
       138,   2189341,        96,        20,   5381157,         0,      0.10,      0.08,      0.00
       139,   2189350,        98,         9,   3625722,         0,      0.10,      0.08,      0.00
       140,   2189354,        96,         7,   3306552,         0,      0.10,      0.09,      0.00
       141,   2189356,        89,        12,   4104477,         0,      0.10,      0.08,      0.00
       142,   2189319,        90,        48,   9849537,         0,      0.11,      0.09,      0.00
       143,   2189352,        96,         9,   3625722,         0,      0.09,      0.07,      0.00
       144,   2189354,        33,        70,  13360407,         0,      0.10,      0.08,      0.00
       145,   2189354,        59,        44,   9211197,         0,      0.11,      0.08,      0.00
       146,   2189356,        98,         3,   2668212,         0,      0.09,      0.08,      0.00
       147,   2189355,        98,         4,   2827797,         0,      0.20,      0.08,      0.00
       148,   2189351,        82,        24,   6019497,         0,      0.11,      0.09,      0.00
       149,   2189352,        81,        24,   6019497,         0,      0.10,      0.09,      0.00
       150,   2189357,       100,         0,   2189457,         0,      0.09,      0.08,      0.00
       151,   2189355,        88,        14,   4423647,         0,      0.10,      0.08,      0.00
       152,   2189351,        92,        14,   4423647,         0,      0.09,      0.07,      0.00
       153,   2189356,        82,        19,   5221572,         0,      0.10,      0.08,      0.00
       154,   2189356,        97,         4,   2827797,         0,      0.09,      0.08,      0.00
