queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
       627,   2189352,        93,        12,   4104477,         0,      0.43,      0.11,      0.00
       628,   2189350,        92,        15,   4583232,         0,      0.52,      0.13,      0.00
       629,   2189356,        99,         2,   2508627,         0,      0.19,      0.11,      0.00
       630,   2189353,        98,         6,   3146967,         0,      0.28,      0.11,      0.00
       631,   2189333,        66,        58,  11445387,         0,      1.55,      0.11,      0.00
       632,   2189335,        91,        31,   7136592,         0,      0.88,      0.12,      0.00
       633,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       634,   2189355,        93,         9,   3625722,         0,      0.34,      0.10,      0.00
       635,   2189350,        98,         9,   3625722,         0,      0.35,      0.11,      0.00
       636,   2189353,        98,         6,   3146967,         0,      0.28,      0.11,      0.00
       637,   2189354,        96,         7,   3306552,         0,      0.30,      0.11,      0.00
       638,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       639,   2189354,        99,         4,   2827797,         0,      0.22,      0.11,      0.00
       640,   2189349,        98,        10,   3785307,         0,      0.39,      0.12,      0.00
       641,   2189324,        32,       101,  18307542,         0,      2.83,      0.12,      0.00
       642,   2189351,        86,        20,   5381157,         0,      0.65,      0.11,      0.00
       643,   2189357,       100,         0,   2189457,         0,      0.16,      0.13,      0.00
       644,   2189357,       100,         0,   2189457,         0,      0.15,      0.12,      0.00
       645,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       646,   2189356,        99,         2,   2508627,         0,      0.20,      0.12,      0.00
       647,   2189354,         2,       101,  18307542,         0,      2.70,      0.12,      0.00
       648,   2189354,        92,        11,   3944892,         0,      0.43,      0.12,      0.00
       649,   2189337,        97,        23,   5859912,         0,      0.73,      0.12,      0.00
       650,   2188926,         7,       524,  85811997,         0,     13.46,      0.13,      0.00
       651,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       652,   2189350,        97,        10,   3785307,         0,      0.40,      0.12,      0.00
       653,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       654,   2189349,        86,        22,   5700327,         0,      0.68,      0.12,      0.00
       655,   2189354,        78,        25,   6179082,         0,      0.77,      0.12,      0.00
       656,   2189357,       100,         0,   2189457,         0,      0.15,      0.13,      0.00
       657,   2189356,        95,         6,   3146967,         0,      0.29,      0.12,      0.00
       658,   2189329,        78,        50,  10168707,         0,      1.40,      0.13,      0.00
       659,   2189355,        99,         3,   2668212,         0,      0.21,      0.12,      0.00
       660,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       661,   2189353,        97,         7,   3306552,         0,      0.31,      0.13,      0.00
       662,   2189269,        58,       130,  22935507,         0,      3.29,      0.13,      0.00
       663,   2189357,       100,         0,   2189457,         0,      0.16,      0.13,      0.00
       664,   2189345,        87,        25,   6179082,         0,      0.75,      0.12,      0.00
       665,   2189309,        97,        51,  10328292,         0,      1.42,      0.13,      0.00
       666,   2189347,        91,        19,   5221572,         0,      0.61,      0.12,      0.00
       667,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       668,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       669,   2189351,        98,         8,   3466137,         0,      0.33,      0.12,      0.00
       670,   2189237,        45,       175,  30116832,         0,      4.46,      0.11,      0.00
       671,   2189356,        62,        39,   8413272,         0,      1.14,      0.12,      0.00
       672,   2189357,       100,         0,   2189457,         0,      0.13,      0.10,      0.00
       673,   2189357,       100,         0,   2189457,         0,      0.15,      0.12,      0.00
       674,   2189293,        85,        79,  14796672,         0,      2.10,      0.13,      0.00
       675,   2189357,       100,         0,   2189457,         0,      0.13,      0.10,      0.00
       676,   2189343,        75,        39,   8413272,         0,      1.09,      0.11,      0.00
       677,   2189344,        95,        18,   5061987,         0,      0.58,      0.13,      0.00
       678,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       679,   2189320,        52,        85,  15754182,         0,      2.17,      0.12,      0.00
       680,   2189292,        77,        88,  16232937,         0,      2.30,      0.11,      0.00
       681,   2189354,        98,         5,   2987382,         0,      0.28,      0.12,      0.00
       682,   2189349,        48,        60,  11764557,         0,      1.61,      0.12,      0.00
       683,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       684,   2189340,        98,        19,   5221572,         0,      0.63,      0.11,      0.00
       685,   2189354,        95,         8,   3466137,         0,      0.34,      0.12,      0.00
       686,   2189350,        99,         8,   3466137,         0,      0.34,      0.12,      0.00
       687,   2189352,        86,        19,   5221572,         0,      0.59,      0.11,      0.00
       688,   2189355,        99,         3,   2668212,         0,      0.22,      0.12,      0.00
       689,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       690,   2189351,        92,        14,   4423647,         0,      0.48,      0.11,      0.00
       691,   2189352,        97,         8,   3466137,         0,      0.32,      0.11,      0.00
       692,   2189296,        82,        79,  14796672,         0,      2.08,      0.12,      0.00
       693,   2189349,        94,        14,   4423647,         0,      0.46,      0.11,      0.00
       694,   2189344,        97,        16,   4742817,         0,      0.56,      0.12,      0.00
       695,   2189356,        87,        14,   4423647,         0,      0.47,      0.10,      0.00
       696,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       697,   2189327,        93,        37,   8094102,         0,      1.07,      0.12,      0.00
       698,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       699,   2189353,        96,         8,   3466137,         0,      0.34,      0.12,      0.00
       700,   2189352,        98,         7,   3306552,         0,      0.30,      0.11,      0.00
       701,   2189355,        96,         6,   3146967,         0,      0.28,      0.12,      0.00
       702,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       703,   2189327,        48,        82,  15275427,         0,      2.14,      0.11,      0.00
       704,   2189351,        98,         8,   3466137,         0,      0.32,      0.11,      0.00
       705,   2189357,       100,         0,   2189457,         0,      0.13,      0.10,      0.00
       706,   2189356,        99,         2,   2508627,         0,      0.18,      0.12,      0.00
       707,   2189355,        97,         5,   2987382,         0,      0.25,      0.11,      0.00
       708,   2189356,        98,         3,   2668212,         0,      0.22,      0.12,      0.00
       709,   2189356,        98,         3,   2668212,         0,      0.21,      0.11,      0.00
       710,   2189356,        93,         8,   3466137,         0,      0.34,      0.11,      0.00
       711,   2189355,        99,         3,   2668212,         0,      0.21,      0.11,      0.00
       712,   2189356,        98,         3,   2668212,         0,      0.20,      0.11,      0.00
       713,   2189351,        96,        10,   3785307,         0,      0.39,      0.12,      0.00
       714,   2189337,        94,        26,   6338667,         0,      0.78,      0.12,      0.00
       715,   2189357,       100,         0,   2189457,         0,      0.15,      0.12,      0.00
       716,   2189351,        91,        15,   4583232,         0,      0.49,      0.11,      0.00
       717,   2189356,        97,         4,   2827797,         0,      0.22,      0.10,      0.00
       718,   2189355,        99,         3,   2668212,         0,      0.21,      0.12,      0.00
       719,   2189327,        81,        49,  10009122,         0,      1.32,      0.11,      0.00
       720,   2189356,        95,         6,   3146967,         0,      0.29,      0.12,      0.00
       721,   2189331,        99,        27,   6498252,         0,      0.78,      0.11,      0.00
       722,   2189355,        98,         4,   2827797,         0,      0.23,      0.11,      0.00
       723,   2189356,        98,         3,   2668212,         0,      0.21,      0.11,      0.00
       724,   2189331,        78,        48,   9849537,         0,      1.31,      0.11,      0.00
       725,   2189356,        99,         2,   2508627,         0,      0.18,      0.11,      0.00
       726,   2189350,        99,         8,   3466137,         0,      0.33,      0.12,      0.00
       727,   2189345,        76,        36,   7934517,         0,      1.00,      0.12,      0.00
       728,   2189350,        99,         8,   3466137,         0,      0.34,      0.12,      0.00
       729,   2189354,        95,         8,   3466137,         0,      0.33,      0.12,      0.00
       730,   2189354,        95,         8,   3466137,         0,      0.31,      0.10,      0.00
       731,   2189343,        95,        19,   5221572,         0,      0.58,      0.11,      0.00
       732,   2189357,       100,         0,   2189457,         0,      0.13,      0.10,      0.00
       733,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       734,   2189347,        97,        13,   4264062,         0,      0.45,      0.12,      0.00
       735,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       736,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       737,   2189357,       100,         0,   2189457,         0,      0.13,      0.11,      0.00
       738,   2188365,        15,      1077, 174062502,         0,     27.24,      0.12,      0.00
       739,   2189344,        82,        31,   7136592,         0,      0.97,      0.13,      0.00
       740,   2189319,         6,       132,  23254677,         0,      3.49,      0.11,      0.00
