topk,random,popularity,k_score,k_rank
10,0.03698435277382646,0.05547652916073969,0.049786628733997154,0.04267425320056899
50,0.1891891891891892,0.27311522048364156,0.21337126600284495,0.29871977240398295
100,0.28733997155049784,0.4480796586059744,0.3541963015647226,0.5277382645803699
150,0.35135135135135137,0.5931721194879089,0.44523470839260315,0.6756756756756757
200,0.41109530583214793,0.6927453769559033,0.5135135135135135,0.7652916073968705
