topk,kscore,krank
10,0.0024284943335132216,0.004856988667026443
50,0.012142471667566108,0.015650296815974095
100,0.025634106853750675,0.03264975715056665
150,0.037776578521316787,0.04641122504047491
200,0.0496492174851592,0.058823529411764705
