n_sample_query,find_sample_rank,build_score_table,compute_linear_regression,query_top100
10,27.47,1195.103,193.463,203.9220242
2500,40.985,1195.103,193.463,102.6667672
5000,155.393,1195.103,193.463,74.467
7500,470.195,1232.633,193.463,70.439
10000,1066.637,1260.752,193.463,70.007
