dimensionality,Grid,RMIPS,US,QSRP
32,84171.96,57402.44,98.878,48.470
64,120039.50,241808.68,98.634,48.306
128,304755.93,444651.96,124.526,50.411
256,393955.10,739480.02,242.562,51.806
512,1031669.76,2443762.00,454.140,53.718
