dimensionality,QSRP,US,Rtree
2,413440772274.00,1146774888270.00,11507810115000.00
8,1536938603.00,12216182550.00,11404943078620.50
32,636518014.00,11285648733.00,11267184576624.90
128,395737094.00,11695501428.00,16754128212282.40
512,97118328.00,10518925956.00,19564351992910.40
