topk,ComputeAll,ComputeIPBound,LEMP
10,2588052732,60228862,449104607
50,7227640623,254693846,1690224210
100,11620454985,460089417,2972876285
150,14620206175,612335247,3889414286
200,19094459894,784118653,4916696673
