Dataset,memory_capacity,retrieval
Amazon,16,14465190.83
Amazon,32,14465190.83
Amazon,64,14465190.83
Amazon,128,14465190.83
Amazon,256,14465190.83
Yelp,16,327414.5227
Yelp,32,327414.5227
Yelp,64,327414.5227
Yelp,128,327414.5227
Yelp,256,327414.5227
